Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4
48.691358,9.003707,250.0,DC Kupplung Combo,250.0,0,0.0,0,0.0,0,0.0
48.691358,9.003707,250.0,DC Kupplung Combo,250.0,0,0.0,0,0.0,0,0.0
48.691358,9.003707,250.0,DC Kupplung Combo,250.0,0,0.0,0,0.0,0,0.0
48.691358,9.003707,250.0,DC Kupplung Combo,250.0,0,0.0,0,0.0,0,0.0
48.691358,9.003707,250.0,DC Kupplung Combo,250.0,0,0.0,0,0.0,0,0.0
48.683311,8.992297,93.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,43.0,0,0.0,0,0.0
48.68567,8.99349,20.0,"AC Steckdose Typ 2, DC Kupplung Combo, DC CHAdeMO",20.0,0,0.0,0,0.0,0,0.0
48.6898346597296,9.00522652220487,320.0,"DC Kupplung Combo, DC CHAdeMO",320.0,0,0.0,0,0.0,0,0.0
48.6898346597296,9.00522652220487,320.0,"DC Kupplung Combo, DC CHAdeMO",320.0,0,0.0,0,0.0,0,0.0
48.702474,9.007019,42.0,0,22.0,"DC Kupplung Combo, DC CHAdeMO",20.0,0,0.0,0,0.0
48.702474,9.007019,42.0,0,22.0,"DC Kupplung Combo, DC CHAdeMO",20.0,0,0.0,0,0.0
48.689928,8.993886,180.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0
48.706694,9.029095,93.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,43.0,0,0.0,0,0.0
48.702997,9.005091,315.0,DC Kupplung Combo,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,0,0.0,0,0.0
48.69557,9.00674,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.69557,9.00674,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
48.7051579,9.0178537,93.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.741553,9.03325,98.0,0,43.0,DC Kupplung Combo,50.0,0,0.0,0,0.0
48.7416682,9.0331385,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
48.741374,9.033108,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.741374,9.033108,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.741374,9.033108,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.741374,9.033108,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.58102284849,8.894139349661,250.0,DC Kupplung Combo,225.0,DC Kupplung Combo,225.0,0,0.0,0,0.0
48.5809662,8.8943564,360.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0,0,0.0,0,0.0
48.5809662,8.8943564,360.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0,0,0.0,0,0.0
48.627423,9.02929,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
