Latitude,Longitude
49.5481627,8.6711576
49.7552566,9.959882
49.4901331,8.4899871
49.6122612,11.1297499
49.6520728,8.5366786
49.6710701,8.5477064
50.1591689,8.6879544
50.1592861,8.6887209
50.5850514,8.6680598
49.1641143,12.9894716
49.6903495,8.6042212
49.7329509,8.5923818
50.1480142,8.624195
49.9351707,10.8626064
50.1400483,8.670959
50.584793,8.6131848
50.5903491,8.6139227
50.798346,13.0323518
49.3640771,11.0379008
49.0374038,8.7063354
49.4667715,8.643555
50.1202202,8.7731124
50.0487949,8.6467861
49.1976416,10.748772
50.2009525,8.5806007
49.295308,8.6976957
49.9470742,8.6092534
49.7121711,10.8438119
50.1127699,8.6765888
49.7467709,10.0022011
49.9547216,8.6050804
49.3701696,11.3262114
50.1825371,8.7423725
52.1052558,10.1513028
49.4585375,12.4193972
52.2988016,13.2679074
50.0269229,8.519457
50.2266058,8.6307997
52.2204119,11.0536184
52.3012214,13.2592461
50.0791175,8.6713162
52.3549702,9.8557541
52.2799675,9.4917923
49.9735384,9.1507001
49.8652154,8.7255392
49.1404441,11.6858779
49.3539278,11.4358737
50.1334347,11.4635763
49.0689069,12.0897391
50.1514259,8.6764111
49.7921359,9.9272303
49.8749921,8.658809
51.4838782,11.9675953
49.8480062,8.8047699
49.9940398,8.4133773
52.2371216,9.5219644
52.4221153,10.788648
50.1211065,11.394251
49.3298334,11.0196149
49.3307667,11.0220723
49.3320631,11.0219065
49.9738529,9.126525
52.2358529,8.9062189
49.6234158,9.6621761
52.4622268,10.5244199
52.4617529,10.5245334
50.4510753,11.4096601
49.2928904,8.6999773
49.2950191,8.7020943
49.3291682,12.1037063
49.3265303,12.1054456
49.2817717,11.459823
49.279551,8.9095933
49.2755399,8.9065502
49.8425244,8.7978891
49.8426932,8.7959934
50.1237446,8.7819695
52.4824741,10.5159611
52.4816945,10.5137235
50.6779453,10.9598075
50.1189773,8.4858347
50.0767829,8.9524927
52.3723034,10.628728
51.7170547,8.747937
51.8420082,10.7970232
52.2669797,8.7774976
49.9437609,10.9050234
49.7960608,9.930251
51.192436,8.7056494
49.9437557,10.9042947
50.5582298,8.5023179
50.1307961,11.1928944
50.8126959,8.69452
51.4626765,11.9770833
49.7832705,9.1825875
49.0329791,9.4372582
49.7461123,8.590774
49.0226947,12.0028325
50.1142968,9.9374173
51.7585994,10.3165924
49.2440628,8.5449639
49.9611037,9.1609091
50.211101,8.5527999
51.6914233,10.021505
51.6930466,10.0148782
51.688716,10.0138119
50.2024745,8.5825799
49.6241351,9.9479684
51.3338734,12.3700879
49.2154289,8.6193438
51.8680661,12.6402489
50.5638943,8.6275244
50.0823561,8.6637168
50.1404674,8.4968346
50.284812,8.4891158
50.1192647,8.7031347
49.6095862,9.4615254
49.7182094,11.0603474
50.0633706,10.24527
52.356284,9.8285122
51.3321001,12.3695932
49.4175787,11.7792637
49.2419601,11.2126526
49.2411842,11.2137884
49.3626468,11.2533305
52.4553467,9.5478147
49.9756079,9.1425259
50.2066417,8.5777608
49.5323881,9.5776771
52.3587967,9.856972
50.0027747,10.8634779
49.9687362,9.1764275
52.1916286,9.8927645
50.1970942,8.5476829
50.2291579,8.6105053
50.1334276,9.972017
50.3085373,11.9231853
49.5541858,11.1200052
49.3319275,8.6603059
52.3223517,9.1965865
49.3274384,8.6555115
49.3270877,8.6555649
50.8704721,12.4603913
49.7197267,11.0339981
50.4967445,12.13376
51.0610361,12.5532264
49.8665715,8.6662536
49.5277678,8.723363
52.2630207,10.4083528
49.3163739,10.7946514
49.7241601,11.0646915
51.2858319,9.6198508
50.530406,8.6766449
49.8171874,8.6422806
49.8006358,9.9541389
49.7766281,9.1682848
52.2574566,10.3668563
50.9285589,11.5841488
49.487318,11.2507547
49.1998736,9.5031067
52.3420229,9.8311171
49.2991437,11.421554
