Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4,Max_socket_power,Max_power
48.45494,9.911473,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.464622,9.941352,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.513406,9.850734,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.49015,9.861754,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.482237,9.911473,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.4633455371971,9.94787333331703,150.0,DC Kupplung Combo,150,DC Kupplung Combo,150,0,0,0,0,150,150.0
48.4633455371971,9.94787333331703,300.0,DC Kupplung Combo,300,DC Kupplung Combo,300,0,0,0,0,300,300.0
48.461936,9.948326,75.0,"AC Kupplung Typ 2, DC Kupplung Combo",50,"AC Kupplung Typ 2, DC CHAdeMO",50,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,0,0,50,50.0
48.468163,9.94098,22.0,"AC Steckdose Typ 2, AC Schuko",11,"AC Steckdose Typ 2, AC Schuko",11,0,0,0,0,11,11.0
48.482306,9.911353,20.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,20.0
48.513378,9.8507422,20.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,20.0
48.464632,9.9415914,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.490108,9.8618227,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.455093,9.9113609,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.211121,10.06954,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.239592,10.060476,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.211078,10.069746,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.518901,9.903521,22.0,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,0,0,0,0,22,22.0
48.534719,9.9245,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.528983,10.193397,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.480387,9.980588,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
